,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
163586,116067.0,0.949240655,1.333519013,-4.855402014,1.835005883,-1.053245292,-2.56282607,-2.286985626,0.26090649,-0.895365546,-4.542612038,2.453710378,-4.925198695,-1.200411971,-6.424372113,1.014897491,-3.129421322,-5.147038783,-1.815436529,0.520496923,0.424608329,0.30659817,-0.854626652,0.101176996,-0.28149741,0.024443939,-0.107944112,0.62528855,0.315677391,65.0,1
62232,50190.0,1.08711362,-0.411832654,1.151477188,1.316336382,-0.318703972,2.026130494,-1.064363828,0.610577075,1.327300244,-0.288892501,-0.590834701,1.587160767,0.786746365,-1.061722834,-2.102957393,-0.31709322,-0.169027167,0.047114323,0.671773959,-0.072400025,-0.126847614,0.1594472,-0.240369525,-1.2840215,0.651209014,-0.185779786,0.11789701,0.013736209,19.0,0
209862,137744.0,0.674654099,0.676751362,-0.712336294,0.027890071,-0.170944239,-0.738997095,-0.706107746,-2.896737046,0.126784974,-0.816318697,-1.025884816,-0.207894356,-1.35120454,1.141185011,0.754240673,0.000983277,-0.310891158,0.191292201,-0.408180841,0.386881489,-1.002316293,1.198820391,-0.048621598,0.044493201,0.560137029,-0.058499617,0.057063463,0.175746221,1.0,0
84112,60166.0,-1.642072673,1.301655807,1.680965143,1.602124137,-0.89699894,0.838941401,-0.359057341,0.955273461,0.533710727,-0.306151451,-1.186579457,1.29705945,0.705305043,-0.659633079,-1.453530484,-1.542142885,1.325708395,-1.142965132,1.260181675,0.130892732,-0.356980086,-0.432642433,-0.018939399,0.110095472,0.040971072,-0.40514572,0.029348267,-0.118427113,33.6,0
219952,141953.0,2.014347434,-0.04383705,-0.989070011,0.314873606,-0.065748683,-0.925282041,0.132583458,-0.235218241,0.164986136,0.220818019,1.165406312,1.546250578,0.69294319,0.332209737,-0.747418918,0.029725718,-0.546658944,-0.494337591,0.395745491,-0.170607684,-0.223350716,-0.509404417,0.330979694,0.097422004,-0.316050502,0.170300676,-0.069561536,-0.067689471,1.29,0
267586,162837.0,1.934031051,-0.982691632,-0.702077141,-1.544121107,-0.80613211,-0.261568854,-0.800493773,0.102993017,2.11845141,-0.826746467,0.963923003,1.433232935,-0.028648725,0.034302539,0.431569183,-0.326892136,-0.462931974,0.737939326,0.777536048,-0.084773154,0.323887576,1.123082271,0.063054317,0.773844272,-0.067512548,-0.11780202,0.025808513,-0.041284084,45.01,0
191532,129300.0,2.125514967,0.384834636,-2.555122049,0.441349813,1.003939305,-1.281697142,0.782022745,-0.514027322,-0.017251223,-0.344309004,-0.459162251,0.400356498,0.687051014,-0.793619386,-0.260116941,-0.249054411,0.713662416,-0.291105265,-0.000538685,-0.118401673,0.031303147,0.312674175,-0.040364923,0.667512,0.441140211,0.681997884,-0.098649062,-0.050922395,3.92,0
6734,8451.0,0.31459659,2.660670277,-5.92003738,4.522499605,-2.315027286,-2.278351654,-4.684053936,1.202270265,-0.694695511,-5.52627806,6.662436831,-8.525464925,0.742745447,-7.67866801,0.593070459,-4.478136595,-5.844266479,-1.102730795,2.177385687,0.562705643,0.743314023,0.064038356,0.677841675,0.083007823,-1.911034464,0.322188398,0.620866539,0.185030355,1.0,1
231658,146860.0,1.595819172,-0.718612071,-2.2921548,0.068588446,1.019653929,1.309452474,-0.117544651,0.416641552,0.881911782,-0.861038548,1.090570131,0.604101985,-0.820592001,-1.044515033,0.12464353,-0.415075258,1.427044745,-0.456039223,-0.428968915,0.067403767,-0.075079994,-0.318149694,0.074391226,-1.072521935,-0.281395546,-0.022072225,-0.001809941,-0.015377961,171.84,0
40236,40149.0,-0.731592326,1.248010936,1.065620555,1.333888539,-0.241383016,-0.015734737,0.175144084,0.602333573,-0.283466206,-0.290713051,-0.973305518,-0.316923938,-1.285664191,0.567845831,0.307631312,-1.043604063,0.866751963,-0.498241153,0.727846707,-0.065025404,-0.010087704,0.163445041,-0.093942658,0.065675573,-0.108424604,-0.217038929,0.298318513,0.139258761,5.88,0
